Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14710,319.0,16.0,26.0,Adventure,11.0,0.0,0.0,0.03,0.0,0.03
2738,83.0,14.0,25.0,Misc,9.0,0.47,0.19,0.0,0.09,0.75
13538,158.0,1.0,26.0,Platform,29.0,0.04,0.0,0.0,0.0,0.04
13800,256.0,16.0,24.0,Shooter,32.0,0.03,0.0,0.0,0.0,0.04
8062,521.0,13.0,24.0,Action,9.0,0.13,0.0,0.0,0.05,0.18
10880,517.0,18.0,13.0,Sports,100.0,0.0,0.0,0.09,0.0,0.09
861,400.0,3.0,25.0,Platform,100.0,0.99,0.8,0.0,0.18,1.97
695,89.0,14.0,26.0,Action,34.0,1.08,0.75,0.15,0.31,2.29
500,185.0,13.0,16.0,Sports,101.0,0.99,0.32,1.38,0.2,2.89
10666,178.0,3.0,20.0,Simulation,74.0,0.0,0.0,0.1,0.0,0.1
4246,515.0,10.0,29.0,Shooter,21.0,0.12,0.29,0.0,0.05,0.46
12104,431.0,5.0,21.0,Puzzle,114.0,0.05,0.02,0.0,0.0,0.07
5403,146.0,16.0,22.0,Sports,100.0,0.0,0.34,0.0,0.0,0.34
12709,246.0,14.0,26.0,Racing,43.0,0.05,0.0,0.0,0.01,0.06
14661,202.0,16.0,28.0,Adventure,24.0,0.0,0.0,0.03,0.0,0.03
15343,476.0,16.0,28.0,Adventure,60.0,0.0,0.0,0.02,0.0,0.02
11759,247.0,1.0,29.0,Role-Playing,98.0,0.0,0.0,0.07,0.0,0.07
15853,512.0,14.0,22.0,Sports,116.0,0.0,0.0,0.02,0.0,0.02
12733,498.0,6.0,20.0,Action,25.0,0.04,0.01,0.0,0.0,0.06
10165,405.0,22.0,23.0,Platform,23.0,0.1,0.0,0.0,0.01,0.11
8260,289.0,20.0,23.0,Sports,40.0,0.16,0.0,0.0,0.01,0.17
11763,6.0,3.0,24.0,Adventure,8.0,0.07,0.0,0.0,0.0,0.07
9063,61.0,1.0,26.0,Platform,90.0,0.09,0.03,0.01,0.01,0.14
9466,250.0,23.0,20.0,Platform,25.0,0.1,0.03,0.0,0.0,0.13
701,528.0,1.0,30.0,Action,69.0,0.0,0.0,2.28,0.0,2.28
2190,123.0,15.0,30.0,Shooter,114.0,0.35,0.41,0.05,0.15,0.95
1868,446.0,6.0,18.0,Role-Playing,89.0,0.54,0.21,0.31,0.04,1.1
6376,276.0,23.0,17.0,Racing,40.0,0.2,0.06,0.0,0.01,0.27
11704,255.0,10.0,30.0,Action,67.0,0.0,0.07,0.0,0.0,0.08
410,20.0,15.0,30.0,Action,120.0,0.8,1.92,0.06,0.5,3.28
6064,230.0,22.0,28.0,Role-Playing,104.0,0.15,0.1,0.01,0.02,0.29
14690,381.0,14.0,28.0,Action,116.0,0.0,0.0,0.03,0.0,0.03
7621,105.0,8.0,15.0,Platform,9.0,0.16,0.04,0.0,0.0,0.2
6606,109.0,18.0,11.0,Role-Playing,86.0,0.0,0.0,0.26,0.0,0.26
9593,214.0,21.0,28.0,Action,126.0,0.05,0.07,0.0,0.01,0.13
9217,436.0,12.0,11.0,Puzzle,124.0,0.08,0.05,0.0,0.01,0.14
12100,251.0,18.0,12.0,Action,25.0,0.0,0.0,0.07,0.0,0.07
10157,75.0,5.0,17.0,Shooter,67.0,0.08,0.03,0.0,0.0,0.11
5872,102.0,17.0,,Role-Playing,90.0,0.13,0.06,0.07,0.04,0.3
9187,147.0,12.0,11.0,Sports,7.0,0.08,0.05,0.0,0.01,0.14
4864,17.0,14.0,27.0,Simulation,87.0,0.09,0.04,0.24,0.02,0.4
9945,527.0,20.0,25.0,Action,31.0,0.06,0.05,0.0,0.01,0.12
8025,275.0,23.0,20.0,Shooter,79.0,0.14,0.04,0.0,0.01,0.18
16375,79.0,23.0,18.0,Action,120.0,0.01,0.0,0.0,0.0,0.01
1799,372.0,13.0,20.0,Role-Playing,114.0,0.0,0.51,0.0,0.62,1.14
12850,76.0,20.0,24.0,Puzzle,81.0,0.0,0.05,0.0,0.0,0.05
5552,114.0,3.0,22.0,Sports,40.0,0.29,0.01,0.0,0.03,0.33
10528,129.0,23.0,20.0,Sports,40.0,0.08,0.02,0.0,0.0,0.1
13912,220.0,10.0,30.0,Action,126.0,0.0,0.04,0.0,0.0,0.04
6864,458.0,22.0,21.0,Action,40.0,0.2,0.02,0.0,0.02,0.24
9387,392.0,13.0,23.0,Role-Playing,16.0,0.07,0.05,0.0,0.02,0.13
2979,286.0,23.0,18.0,Sports,40.0,0.62,0.04,0.0,0.02,0.68
7339,410.0,13.0,23.0,Racing,126.0,0.1,0.08,0.0,0.03,0.21
4190,357.0,8.0,13.0,Role-Playing,67.0,0.38,0.08,0.0,0.01,0.47
3396,140.0,3.0,24.0,Role-Playing,104.0,0.23,0.11,0.23,0.03,0.59
7983,225.0,13.0,17.0,Role-Playing,116.0,0.09,0.07,0.0,0.02,0.19
15386,380.0,17.0,27.0,Action,100.0,0.0,0.0,0.02,0.0,0.02
4694,509.0,12.0,15.0,Misc,55.0,0.23,0.16,0.0,0.03,0.41
57,165.0,14.0,23.0,Action,114.0,4.76,3.76,0.44,1.62,10.57
10853,264.0,20.0,26.0,Misc,40.0,0.02,0.07,0.0,0.01,0.09
2379,278.0,24.0,28.0,Sports,114.0,0.7,0.11,0.0,0.06,0.87
4874,366.0,22.0,30.0,Adventure,104.0,0.17,0.19,0.0,0.03,0.4
9587,439.0,12.0,14.0,Sports,120.0,0.07,0.05,0.0,0.01,0.13
3312,325.0,20.0,25.0,Misc,87.0,0.47,0.09,0.01,0.04,0.61
11478,212.0,8.0,13.0,Shooter,82.0,0.06,0.02,0.0,0.0,0.08
2937,268.0,22.0,25.0,Sports,120.0,0.38,0.26,0.0,0.06,0.7
3886,342.0,14.0,25.0,Action,120.0,0.17,0.25,0.0,0.09,0.51
503,441.0,12.0,14.0,Shooter,101.0,2.03,0.72,0.02,0.11,2.88
6461,87.0,17.0,29.0,Misc,90.0,0.13,0.07,0.0,0.06,0.26
14597,253.0,23.0,17.0,Role-Playing,127.0,0.02,0.01,0.0,0.0,0.03
9851,132.0,5.0,19.0,Shooter,67.0,0.0,0.0,0.12,0.0,0.12
10392,407.0,5.0,17.0,Shooter,9.0,0.08,0.03,0.0,0.0,0.11
6771,104.0,3.0,28.0,Simulation,37.0,0.13,0.1,0.0,0.02,0.25
8688,279.0,6.0,17.0,Sports,100.0,0.12,0.03,0.0,0.0,0.16
11476,469.0,18.0,11.0,Adventure,100.0,0.0,0.0,0.08,0.0,0.08
5005,448.0,3.0,22.0,Simulation,15.0,0.07,0.0,0.31,0.01,0.38
862,414.0,13.0,17.0,Platform,121.0,0.74,0.95,0.0,0.28,1.97
4085,91.0,20.0,24.0,Shooter,40.0,0.33,0.11,0.01,0.04,0.48
12291,433.0,19.0,8.0,Misc,61.0,0.0,0.0,0.06,0.0,0.06
1074,416.0,16.0,22.0,Shooter,70.0,0.9,0.47,0.0,0.32,1.68
8923,344.0,6.0,20.0,Action,120.0,0.11,0.03,0.0,0.0,0.15
10726,415.0,13.0,19.0,Simulation,52.0,0.05,0.04,0.0,0.01,0.1
7438,199.0,20.0,27.0,Misc,120.0,0.15,0.04,0.0,0.02,0.21
2512,83.0,22.0,25.0,Misc,9.0,0.64,0.12,0.0,0.06,0.82
1483,339.0,3.0,25.0,Role-Playing,89.0,0.51,0.17,0.58,0.06,1.33
3251,473.0,23.0,18.0,Sports,40.0,0.47,0.13,0.0,0.02,0.62
4664,232.0,23.0,19.0,Role-Playing,40.0,0.31,0.09,0.0,0.01,0.42
16416,457.0,22.0,21.0,Action,40.0,0.0,0.0,0.01,0.0,0.01
